gene,connectivity_raw,connectivity_variance_normalized
ATP5B,0.17888317097619147,0.16540457481008092
RARRES3,0.1361680188444826,0.1653886340371125
MT-ND5,0.2509625470208765,0.16528267330818644
EGFR,0.17200209726126806,0.1652262801940589
CHP1,0.12226044247338433,0.1650444589673024
ACOT13,0.1383972930956827,0.16499707592052315
CUL3,0.16155272629048692,0.16489782597411254
PFDN5,0.18402402494976425,0.16487865552133965
SFPQ,0.17561296100603488,0.16481454461752193
RP11-475J5.4,0.09587437282161272,0.16464664446181135
SDC4,0.11947243390725147,0.16464122576749218
PLA2G16,0.19947608780650197,0.1645652230868254
TPD52L1,0.15344179910433528,0.1643747881784235
ARPC5,0.1896225658101666,0.16436396477418558
RAC1,0.22070203574638964,0.1643357413404961
PPIB,0.18015755872026257,0.16431274756860118
MIF,0.1021816480492022,0.16428940025500746
MYO6,0.1683053036760425,0.16412602686136454
SPARC,0.0777101960212985,0.16412125567365551
LINC00657,0.15505891997825524,0.1640562993745914
ENAH,0.17497959100900257,0.16397336802054716
TRAM1,0.11661019098750594,0.16396645074020147
ANKRD11,0.17386000505683374,0.1639159820957412
RTN4,0.21167402843647795,0.16388916647166804
PRDX6,0.18290578686891162,0.16382354718742526
DYNC1LI2,0.14208455541804887,0.1637135371717768
MT-ATP8,0.2266892447186359,0.1634344901461572
ERGIC3,0.13298180607165874,0.16340801296065569
CAPRIN1,0.12323721269820516,0.1633560674114344
MYADM,0.15383620052658564,0.16319569878984194
CTSH,0.12345340664616902,0.16314595623700331
DUSP1,0.07418388384061958,0.16311175739335657
DKK1,0.12629298715871828,0.16296794708694104
ALPP,0.08752207886516278,0.1629302131732575
UBXN4,0.18777909828318293,0.16269263736574444
MYL12B,0.21848002005239314,0.16263843330799682
ATP6V0E1,0.1705417187946496,0.16259051873560748
MT-ND4L,0.19419819327295434,0.16258374482828852
RPL18A,0.08028053753153959,0.1625538245729854
RPL28,0.22815440772424175,0.16253139981195927
LAPTM4A,0.1455413050427881,0.16236580467645528
SVIL,0.12025223341140513,0.16230554580891077
TNNT1,0.15864774467262746,0.16211381904720085
EIF3E,0.16036170929731114,0.16199702897408558
CD63,0.1841029818166607,0.16186130394301879
HINT1,0.20795650185572703,0.1617719479295204
RPS13,0.2254188416119257,0.16166154864002943
SEC61B,0.154844582526559,0.16156401908130244
RPL23,0.2293388441174635,0.1614866573376205
TTC3,0.14439460870200158,0.1613737635674078
DYNLRB1,0.15796607359990547,0.16130627208641957
RND3,0.1210515931663993,0.16118965719849945
TMSB10,0.20929464817371277,0.16103291620242705
