gene,connectivity
MT-ND1,0.2646390532734117
WNT5A,0.2645178113884864
RAC1,0.2642067446747578
RPS13,0.2640725504695599
RPL4,0.26371243978989195
LIMCH1,0.26348036555997534
PSMA7,0.2631766190340858
SQSTM1,0.26306087807844
HNRNPA2B1,0.2627479466024019
CSDE1,0.26266142201212944
ACSL3,0.26236321089788006
UCHL1,0.2620948450975399
FUS,0.26124501204020634
NPC2,0.2604052810584664
STMN1,0.2603464441223261
PMEPA1,0.2600264884759422
ATP5G3,0.2597313406190282
SRRM2,0.2595564605102176
ZFP36L1,0.25939858462192994
NOP56,0.2588617651337754
ACTB,0.25883760414181883
SPTBN1,0.258610636178204
GSTK1,0.2579299661069399
RAD21,0.25731231196245963
EEF2,0.25712954179516134
SSRP1,0.25681591649836705
MT-ATP6,0.2558346983529045
RP11-750B16.1,0.2556015028182055
CCT5,0.255466708636138
UBA52,0.2540077346672743
DYNC1H1,0.25391560691623444
RPL26,0.2535591208959096
DBI,0.2530069204514566
GPX4,0.2513682044014325
DDX17,0.2512865221516605
HSP90B1,0.2510904371535835
EIF5B,0.25065596313560845
ARL6IP1,0.2504695793303562
UQCRQ,0.25037115921705133
RPL28,0.2499604808238799
TMSB4XP8,0.2493247807147469
CAV1,0.24835614482210575
AHNAK,0.24833620413074195
RPS2,0.24785215209569353
YWHAE,0.24707932297183413
CDK1,0.24670832486155891
LRRFIP1,0.24602047899480906
RPL15,0.24598022474876316
KRT7,0.24592129483991218
ENO1,0.24545503112428615
RPL23A,0.24494760025122958
RPS4X,0.2445449676747066
EPCAM,0.24405463255643034
CHD4,0.24367305820771093
RPL12,0.24319005523061848
ANP32B,0.2425184740978062
TMBIM6,0.24106396893754772
MYL12A,0.24097214694901603
ATP5E,0.24027992417259658
RPS15,0.23946767636175303
SET,0.23929382253876355
ANXA2,0.23920800279063648
LDHA,0.23916456052675125
PLA2G16,0.23913904560576646
SLC25A5,0.2390755039749301
SLIRP,0.23811277372345965
MYL12B,0.23796130490902734
COX7C,0.23743136750849472
RBM25,0.23742253789684548
PCNA,0.23737572116320188
YWHAB,0.23626165520488446
HSP90AB1,0.23607043430644747
MT-ND4,0.23568071320622572
CAV2,0.23440117348950384
KRT17,0.23371222560540256
DSTN,0.23364213807983192
EEF1A1,0.23349613417256534
RPL18,0.2329156598941069
CALR,0.23275466316982973
NASP,0.232739578332324
PAWR,0.23251156386350144
TFPI2,0.23214841223265506
NUSAP1,0.23193379014953314
H2AFV,0.23188085259425242
MARCKS,0.23179398212685706
NDUFS6,0.23177164067709877
RPL35,0.23066290975994677
NPM1,0.2306306102825297
NIPBL,0.23050353883238248
SERBP1,0.23011156622849704
S100A11,0.2300641491330456
LUC7L3,0.22999475638044684
RHOBTB3,0.2298227497746878
SRI,0.22960477295495635
KLK5,0.22904571122980538
CCT6A,0.2287334424553073
RPL41,0.22841071112070013
KRT19,0.22827162862553393
PTGES3,0.22808942196727366
PFN1,0.22783440290706486
RPL3,0.2269431128135593
OAZ1,0.22690773917897716
EIF3H,0.22646313950287736
RPL23,0.2261732779417939
HMMR,0.22615604762071498
RTN4,0.22604108594211084
PRSS23,0.22576872577965462
EIF4G1,0.22543650920256558
PERP,0.2251697956988959
NAP1L1,0.22471289728710556
HP1BP3,0.22454872788173824
RARRES3,0.22412534372122575
RPL24,0.2239347356748289
RPS23,0.22384218485642257
YBX3,0.22330079696196264
COX4I1,0.2230210219979043
UBE2C,0.22289713088709184
HMGN2,0.22261561995294935
KTN1,0.22241775726964083
LIMA1,0.22234850769380093
RPL5,0.22226913764637235
ALCAM,0.22185361336721685
RPL10A,0.2217404082225019
HDLBP,0.22163833646365852
ARF1,0.22163426179127332
RPS6,0.22162782213948845
PPIA,0.22156906565543666
EEF1D,0.2213137168449905
AKAP9,0.22127352475633758
RPL34,0.22124913697498821
RPL8,0.22121757670051787
RPS7,0.22097337318876825
SKIL,0.220641112262744
SNRPD2,0.22032191589687408
EIF5A,0.21961202670488936
SRSF11,0.21944346726143305
MYH9,0.21936170772011793
TOMM7,0.2192023923249572
GNAS,0.2188586051329555
COX5B,0.21838151367240663
DUT,0.2182577222605938
MT-CO1,0.21808340718031416
RP11-742N3.1,0.21807268004608674
RPL37A,0.2179142083544702
RPS24,0.21776114322148887
EZR,0.21745720965614293
PA2G4,0.21728336430179432
MATR3,0.21668144624951258
FTH1,0.21636016420731327
CYCS,0.21608813264027976
MTDH,0.2158169345050179
HDGF,0.2154912444947124
ALDOA,0.21547060528229403
XRCC6,0.21473165769142655
EIF1,0.21454358117099037
RPS14,0.21446481097887196
TCEB2,0.21429831976796557
HNRNPD,0.21405199777909803
TMPO,0.21394734980094035
TMED10,0.21367314940079146
COX6C,0.21365178514710095
PRDX5,0.21363316993985673
LGALS3,0.2134638370542118
TPT1,0.21285526416967873
RPL11,0.2123167918378362
HSP90AA1,0.2121266521295668
RPS28,0.21169417869631407
TAX1BP1,0.21120524779215386
PTTG1IP,0.2110149191602568
EIF2S2,0.2109760313436014
ZFAND5,0.21093039114324516
KIF5B,0.2107118048042282
APLP2,0.21063610123258963
SFPQ,0.21060047896843553
ARPC5,0.2104986633758493
HSPA8,0.2101057500437277
DYNLL1,0.21008999592021238
